Name,Description,Tactics,Type,Tier,Diff,Bonus,Attack,Distance,Damage,Effect,Major,Severe,HP,Stress,Experiences,Feature1,Action1,Text1,Quote1,Feature2,Action2,Text2,Quote2,Feature3,Action3,Text3,Quote3,Feature4,Action4,Text4,Quote4,Feature5,Action5,Text5,Quote5,Feature6,Action6,Text6,Quote6,Feature7,Action7,Text7,Quote7
Spellblade,A mercenary combining their skills in swordplay and magic to deadly effect.,"Blast, Command, Endure",Leader,1,14,3,Empowered Longsword,Melee,2d8+5,phy/mag,8,14,6,3,Magical Knowledge +2,Arcane Steel,Passive,Damage dealt by the Empowered Longsword is considered both physical and magic.,“Their blade glows with an otherworldly sheen.”,Suppressing Blast,Action,Mark a Stress and target a group within Far range. They must make an Agility Reaction Roll or take 1d8+1 mag damage. Add a token to the action tracker for each target that marked HP on this attack.,"“The magical blast ricochets towards you, knocking the wind out of your lungs.”",Move As A Unit,Action,Spend a Fear to activate the Spellblade and up to five allied units within Far range.,"“With sword raised high, they lead the charge towards you.”",,,,,,,,,,,,,,,,
Swarm of Rats,A skittering mass of ordinary rodents moving as one like a ravenous wave.,"Consume, Swarm, Obscure",Horde (10/HP),1,10,-3,Claws,Melee,2d6+4,phy,6,10,6,2,,In Your Face,Passive,All enemies in melee range of the swarm of rats have disadvantage on against any target other than the horde.,"“They swarm you, pulling your focus from anything but them.”",Horde (1d4+2),Action,"Once 4 HP are marked on the horde, they only do 1d4+2 on their Claws attack.","“With their numbers dwindling, they don’t pose as much of a threat.”",,,,,,,,,,,,,,,,,,,,
Sylvan Soldier,A faerie warrior adorned in leaf & bark armor.,"Ambush, Overwhelm, Protect, Trail, Hide",Standard,1,11,0,Scythe,Melee,2d6+2,phy,6,11,4,2,Tracker +2,Pack Tactics,Passive,"When making a Scythe attack, if another Sylvan Soldier is also in melee range of the target, deal 2d8+5 phy damage instead.","“When they work in packs, they’re more bold, more vicious.”",Forest Control,Action,Spend a Fear to pull down a tree within Close range. Anyone the tree might hit on its way down must make an Agility Reaction (15) or take 3d4+11 phy damage.,“They extend vines from their hands and pull the tree down with a crash.”,Blend In,Reaction,"After a successful attack, mark a Stress to become Hidden until this adversary’s next attack or a PC makes an Instinct Roll (14) to find them.","“When you look up from the attack, they are gone…”",,,,,,,,,,,,,,,,
Tangle Bramble,Individual blood-drinking tumbleweeds,"Drain, Entangle, Combine",Minion,1,11,-1,Thorns,Melee,4,phy,,,1,1,,Minion (4),Passive,"This adversary is defeated if they take any damage. For every 4 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Tangle Brambles within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 4 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",Drain & Multiply,Reaction,"If an attack from Tangle Brambles deals HP and there are three or more Tangle Bramble Minions in Close range, combine all Tangle Bramble minions into a Tangle Bramble Swarm with HP equal to the number of minions combined.",,,,,,,,,,,,,,,,,
Tangle Bramble Swarm,"A cluster of animate, blood-drinking tumbleweeds, each the size of a large gourd.","Entangle, Immobilize, Digest",Horde (3/HP),1,12,0,Thorns,Melee,2d6+3,phy,6,11,6,3,Camouflage +2,Encumber,Reaction,"Whenever Tangle Bramble Swarm hits a PC, give them a bramble token. If a creature has any bramble tokens when they activate, they add an additional token to the action tracker when they take an action. If a creature has 3 or more bramble tokens, they are Restrained. Bramble tokens can be removed by making a Finesse roll (12 + the number of bramble tokens) or dealing Major damage to Tangle Bramble Swarm. If removed without damage, create a Tangle Bramble Minion in Melee with the now-freed character for each token removed.","“The brambles grab a hold of you, digging in and slowing your movement.”",Crush,Action,Mark Stress to deal 2d6+8 phy direct damage to a target with 3 or more bramble tokens.,"“The brambles dig into you, blood draining into the vegetable matter.”",Horde 1d4+2,Passive,"If Tangle Brambles has 3 or more of their Hit Points marked, their attack only deals 1d4+2 damage.","“With their numbers dwindling, they don’t pose as much of a threat.”",,,,,,,,,,,,,,,,
Tiny Green Ooze,A small moving mound of translucent green slime.,"Creep up, Envelop, Camouflage, Consume & Multiply",Skulk,1,14,-1,Ooze Appendage,Melee,1d4+1,mag,4,,2,1,,Acidic Form,Passive,Any successful melee attacks this creature makes also marks an Armor Slot on the target. This doesn’t reduce any damage.,"“The residue eats away at your armor, corroding it slowly.”",,,,,,,,,,,,,,,,,,,,,,,,
Tiny Red Ooze,A small moving mound of translucent flaming red slime.,"Blaze, Camouflage, Consume & Multiply",Skulk,1,11,-1,Ooze Appendage,Melee,1d4+2,mag,5,,2,1,,Burning,Reaction,Any creature that damages this adversary from melee range takes 2d6 direct magic damage.,"“As you strike the ooze, you feel a flash of red hot heat wash over you.”",,,,,,,,,,,,,,,,,,,,,,,,
Weaponmaster,A clear serpent with a head the size of a human that leaves behind a glass shard trail wherever it goes.,"Climb, Feed, Keep Distance, Scare",Bruiser,1,14,2,Greatsword,Very Close,2d8+5,phy,8,15,6,3,,Goading Strike,Action,"Make a Greatsword attack and mark a Stress to taunt the target. The next time the taunted target acts, if they attack anyone other than the Weaponmaster, its with disadvantage.",“They smile at you with venom in their eyes. ‘Come get me.’”,Adrenaline Burst,Action,Spend a Fear once per scene to heal 2 HP and 2 Stress.,"“They wipe the blood from their face and look up at you, revelling in the challenge.”",,,,,,,,,,,,,,,,,,,,
Young Dryad,An imperious tree-person leading their forest’s defenses.,"Command, Nurture, Prune the Unwelcome",Leader,1,11,0,Scythe,Melee,2d8+5,phy,6,11,4,2,Leadership +3,Voice of the Forest,Action,Mark a Stress to activate 1d4 allies in range of a target they can immediately hit. Their attacks deal half damage.,"“When they work in packs, they’re more bold, more vicious.”",Thorny Cage,Action,Spend a Fear to form a cage around a target within Very Close range that makes them Restrained. Any action taken against the cage marks a Stress. The target can be broken free with a successful Strength Roll.,"“A cage of thorns and vines wraps around you, holding you in place.”",,,,,,,,,,,,,,,,,,,,
Zombie Pack,A group of shambling corpses instinctively moving together.,"Hunger, Maul, Consume Flesh",Horde (2/HP),1,8,-1,Bite,Melee,2d6+8,phy,6,12,6,3,,Overwhelm,Reaction,"When a creature within melee range deals 1 HP to the Zombie Pack, you may mark a Stress to have the Zombie Pack immediately make an attack against that creature.",“The zombie's numbers seem insurmountable.”,Horde (2d4+3),Passive,"If the Zombie Pack has 3 or more of their Hit Points marked, their attack only deals 2d4+3 damage.","“With their numbers dwindling, they don’t post as much of a threat.”",,,,,,,,,,,,,,,,,,,,
Apprentice Assassin,A dirt-covered skeleton armed with a rusted blade.,"Gang Up, Feign Death, Steal Skin",Minion,2,13,-1,Thrown Dagger,Very Close,5,phy,,,1,1,Intrusion +2,Minion (6),Passive,"This adversary is defeated if they take any damage. For every 6 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Apprentice Assassins within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 5 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Archer Squadron,A group of trained archers bearing massive bows.,"Volley Fire, Stick Together, Survive",Horde (2/HP),2,13,0,Longbow,Far,2d6+13,phy,8,16,4,3,,Focused Volley,Action (2),Pick a point within a Far distance. Make an attack with advantage against all targets within a Close distance of that point. Targets that are hit suffer 2d10+4 phy damage.,"“Their arrows fill the air, blocking out light as they rain death upon you.”",Suppressing Fire,Action,"Mark a Stress to target a point within a Far distance. Until the next roll with Fear, any character that moves within Close of that point must make a Reaction Roll (Agility 13) or suffer 2d6+13 physical damage. On a success, they take half damage.","“They concentrate their attention on a single point, loosing on anyone that approaches.”",Horde (2d6+3),Passive,"If Archer Squadron has marked ½ or more of their HP, their basic attack deals 2d6+3 phy instead of 2d6+13 phy.","“With their numbers flagging, the archers’ attacks are weaker.”",,,,,,,,,,,,,,,,
Assassin Poisoner,A cunning scoundrel skilled in both poisons and ambushing.,"Anticipate, Taint Food and Water, Disable, Get Paid",Skulk,2,14,3,Poisoned Throwing Dagger,Close,2d8+12,phy,8,16,4,4,Intrusion +2,Grindletooth Poison,Passive,Targets that mark HP from a Poisoned Throwing Dagger attack are made Vulnerable until they clear one Hit Point.,“Your wound stings as poison courses through your body.”,Out of Nowhere,Passive,Assassin Poisoner has advantage on attacks if they are Hidden.,"“They come at you from your flank, and you barely have time to react.”",Fumigation,Action,"Drop a smoke bomb that fills the area within Close range with smoke, making all targets Dizzied. Dizzied characters add two tokens to the action tracker when they act, then are no longer dizzied.","“They throw something, and the air fills with a thick, cloying smoke.”",,,,,,,,,,,,,,,,
Battle Box,A cube-shaped construct with a different rune on each of their six sides.,"Wait in Disguise, Trample Foes, Change Tactics",Solo,2,15,2,Slam,Melee,2d6+3,phy,10,20,7,6,Camouflage +2,Relentless (2),Passive,This adversary may activate twice in a GM move.,“They move with incredible speed.”,Overcharge,Reaction,Mark a Stress to add +1d10 to the damage of any of the Battle Box’s attacks.,"“The box glows and rattles, unleashing a powerful attack.”",Randomized Tactics,Action,"Mark Stress and roll 1d6. The Battle Box uses the corresponding move. 1. Mana Beam The cube turns and fires a searing beam. Make an attack against a target within Far range. On a success, deal 2d10+10mag damage. 2. Fire Jets The cube shoots into the air, spinning as it releases jets of flame. Make an attack against all targets within Close range. Any you succeed against take 2d6+3 phy damage. 3. Trample The cube rockets around a Close area, attacking all within. Any it is successful against take 2d8+10 physical damage and are Vulnerable until their next roll with Hope. 4. Shocking Gas The cube sprays out a silver gas sparking with lightning. All creatures within Close range must make a Finesse Reaction Roll (15) or mark 3 Stress. 5. Stunning Clap The cube leaps and its sides clap, creating a small sonic boom. Any targets within Very Close range must make a Strength Reaction Roll or become Vulnerable until this adversary is defeated. 6. Psionic Whine The cube releases a cluster of mechanical bees whose buzz rattles mortal minds. All targets within Close range must make a Presence Reaction Roll (15) or take 2d8+10 mag damage that can’t be reduced by armor.","“The box jumps and spins, and unleashes a different attack depending on the side that landed face-up.”",Death Quake,,"When this adversary marks its last Hit Point, the magic powering it ruptures in an explosion of force. All targets in Close range make an Instinct Reaction Roll or take 2d8+12 magic damage.",,,,,,,,,,,,,
Chaos Skull,A bleached floating humanoid skull animated by scintillating magic.,"Serve Creator, Cackle, Consume Magic",Ranged,2,15,2,Energy Blast,Close,1d8+3,mag,8,16,5,4,,Levitation,Passive,Chaos Skull levitates several feet off the ground and can’t be Restrained.,“The skull floats at eye-level and slips out of your grasp.”,Wards,Passive,Chaos Skull is resistant to magic damage.,"“The skull absorbs part of your magic, the attack landing without the force you’d expect.”",Magic Burst,Action,Mark Stress to make an attack against all targets within Close range. Each target you succeed against takes 2d10+4 mag damage.,"“Power bursts from the skull, searing and chilling and shocking you all at once.”",Siphon Magic,Action,"Spend a Fear to make an attack against a target within Very Close range. On a success, a target with a Spellcast trait marks 1d4 Stress and the Chaos Skull clears that many Stress. Additionally, on a success, Chaos Skull may immediately activate again without spending action tokens.","“The skull cackles in a hollow voice, and you feel the magical power within slipping away from you and feeding the skull.”",,,,,,,,,,,,
Conscript,Poorly-trained civilians pressed into war.,"Follow Orders, Gang Up, Survive",Minion,2,12,0,Spears,Very Close,5,phy,,,1,1,,Minion (6),Passive,"This adversary is defeated if they take any damage. For every 6 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Conscripts within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 5 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Courtesan,An accomplished manipulator and master of the sensual arts.,"Entice, Maneuver, Secure Patrons",Social,2,11,-3,Dagger,Melee,1d8+3,phy,7,13,3,4,"Socialite +5, Manipulation +5",Searing Glance,Reaction,"Mark a Stress when a character within Close distance makes a roll with Presence. The target must make a Presence Reaction Roll (16). If they fail, they mark 2 Stress and are Vulnerable for the remainder of the scene until they succeed on a social action against the Courtesan. If they succeed, they still mark Stress.","“Just as you make your point, they tear you apart with a tiny scoff.”",Dangerous Allure,Action,"Spend a Fear to subvert a character, convincing them to do something they want to do even if they know it’s a bad idea. If used on an NPC, it just works unless it would violate their motive. If used on a PC, the PC must make a React roll with Presence (16). If they fail, they can do as the Courtesan asks or mark 2 Stress. If they succeed, they still mark Stress. This subversion is often, but not always, romantic or physical.",,,,,,,,,,,,,,,,,,,,,
Cult Adept,An experienced mage wielding shadow and fear.,"Uncover Knowledge, Hinder Foes, Curry Favor",Support,2,14,2,Rune-covered Rod,Far,2d4+3,mag,9,18,4,5,"Fallen Lore +2, Rituals +2",Fear is Fuel,Reaction,"When a PC rolls a failure with Fear, clear a Stress. Usable up to twice per scene.","“As the fight grows more desperate, the Adept seems refreshed.”",Enervating Blast,Action,"Make a standard attack. On a success, mark a Stress to cause the target to mark Stress in addition to the normal results.",“The blast ripples across your body as you writhe in pain.”,Shroud of the Fallen,Action - Spell,"Mark a Stress to wrap an ally within Close distance in a shroud of protection. While so protected, the target has resistance to all damage.","“They conjure a dark cloud of concentrated magical shadow, which blunts some of the strength of your attacks.”",Shadow Shackles,Action - Spell,"Spend a Fear and choose a point within Far range. All targets within Close range of that point are bound up in smoky chains and become temporarily Restrained. Each time they act while within the target area, they add two action tokens to the action tracker, not one. They can break free of the restraints with a Strength roll or by spending 2 Hope.","“Thick chains of smoke wrap themselves around you, binding you in place.”",,,,,,,,,,,,
Cult Fang,A professional killer-turned-cultist.,"Isolate Prey, Capture Sacrifices, Rise in the Ranks",Skulk,2,15,2,Long Knife,Melee,2d8+10,phy,9,17,4,4,,Shadow’s Embrace,Passive,Cult Fang can climb and walk on vertical surfaces. Mark a Stress to move from one shadow to another within a Far distance.,“The Fang moves as if one with the darkness around them.”,Pick Off The Straggler,Action,"Mark a Stress to move up to a Close distance and attack. The target must make a Reaction Roll (Instinct 15) or mark 2 Stress and be teleported with the Cult Fang to a shadow within a Far distance. If the target succeeds, they still mark Stress due to visions of the dread realm between shadows.",“They leap out from a shadow to grab you and pull you away with them.”,,,,,,,,,,,,,,,,,,,,
Cult Initiate,"A Low-ranking cultist in simple robes, eager to gain power.","Follow Orders, Gain Power, Seek Forbidden Knowledge",Minion,2,13,0,Ritual Dagger,Melee,5,phy,,,1,1,,Minion (6),Passive,"This adversary is defeated if they take any damage. For every 6 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Cult Initiates within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 5 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Demonic Hound Pack,Unnatural hounds with ichor-slicked fur.,"Consume Flesh, Please Masters, Cause Fear",Horde (1/HP),2,15,0,Claws and Fangs,Melee,2d8+12,phy,11,23,5,3,Scent Tracking +3,Pounce,Passive,May leap up to a Close distance when moving as part of an activation.,"“They bound forward, clearing gaps and obstacles in pursuit of prey.”",Dreadhowl,Action,"Mark Stress to cause all targets within a Very Close distance to lose Hope. If not able to lose a Hope, they mark 2 Stress.",“They let loose a howl that tears at your heart.”,Horde (2d4+6),Passive,"If Demonic Hound Pack has half or more of its HP marked, their basic attack deals 2d4+6 phy damage instead of 2d8+12 phy.","“With their numbers dwindling, they don’t pose as much of a threat.”",,,,,,,,,,,,,,,,
Electric Eels,A pack of eels that encircle and electrocute.,"Avoid Larger Predators, Shock Prey, Tear Apart",Horde (2/HP),2,14,0,Shocking Bite,Melee,2d10+4,phy,10,20,5,3,,Paralyzing Shock,Action,Mark Stress to attack all targets within Very Close distance. Add one token to the action tracker for each target that marks HP.,"“The electricity courses through you, slowing your actions.”",Horde (2d4+4),Passive,"If Electric Eels have marked ½ or more of their HP, their standard attack deals 2d4+4d phy damage instead of 2d10+4.","“With their numbers dwindling, they don’t pose as much of a threat.”",,,,,,,,,,,,,,,,,,,,
Elite Soldier,An armored squire or experienced commoner looking to advance.,"Gain Glory, Make Alliances, Support Their Knight",Standard,2,15,1,Spear,Very Close,2d4+4,phy,9,18,4,3,,Vassal’s Loyalty,Reaction,"When a Knight or other noble would take damage, if the Elite Soldier is within Very Close range of the noble, mark a Stress and the Elite Soldier moves into melee to take the damage instead.","“They leap to their liege’s defense, throwing their body on your blow.”",Reinforce,Action,"Mark a Stress to move up to a Close distance to melee range of an ally. Make an attack against a very close target. On a success, deal 2d10+10 phy damage and clear a Stress on that Close ally.","“The soldier runs up to join the fight, stabbing with ferocity and bolstering their ally.”",,,,,,,,,,,,,,,,,,,,
Failed Experiment,"A magical experiment in necromancy gone wrong, leaving the zombie warped and ungainly.","Devour, Hunt, Track",Standard,2,13,1,Bite and Claw,Melee,2d6+5,phy,12,23,3,3,Copycat +3,Warped Fortitude,Passive,This creature is resistant to physical damage.,"“The dead flesh has grown tough, less responsive to your weapons.”",Overwhelm,Passive,"When a target this adversary is attacking has any allies also in Very Close range, Failed Experiment’s damage is doubled.","“The creature shuffles around to your flank, retaining some sense of tactics as it attacks where you’re weak.”",Lurching Lunge,Action,Mark a Stress to activate Failed Experiment even if they have already activated this move.,"“It leaps forward, its movements sharp and jolting like a puppet on strings.”",,,,,,,,,,,,,,,,
Giant Beastmaster,A leather-clad warrior bearing a whip and massive bow.,"Command, Maneuver, Pin Down, Make a Living, Protect Companion Animals",Leader,2,16,2,Longbow,Far,2d6+5,phy,12,24,6,5,Animal Handling +3,Pinning Strike,Action,"Make a Longbow attack against a target. On a success, the Beastmaster may also mark a Stress to pin them to a nearby surface. A pinned target is Restrained until freed with a Finesse or Strength Roll (16).",“Their arrow punches through you and pins you to the nearby terrain.”,Deadly Companion,Action,"Up to twice per scene, summon a Bear, Dire Wolf, or similar Tier 0 Beast under this adversary’s control. That beast appears at a Close range and immediately activates.","“They blow a whistle and a trained beast emerges, charging forward at the giant’s command.”",Two as One,Passive,"When this adversary activates, you can also activate a Tier 0 Beast currently under this adversary’s control.","“The beast and giant move in perfect sync, closing in together.”",,,,,,,,,,,,,,,,
Giant Brawler,An especially-muscular giant wielding a warhammer larger than a tall human.,"Overwhelm, Slam, Topple, Make a Living",Bruiser,2,15,2,Warhammer,Very Close,2d6+15,phy,14,28,7,4,Intrusion +2,Bloody Reprisal,Reaction,"When the Giant Brawler marks two or more HP, immediately make a Warhammer attack against the attacker, if they are within range. On a success, the target takes 2d6+15 phy damage.","“As soon as your blow has landed, they swing their hammer down at you in response.”",Battering Ram,Action,"Mark a Stress to have this adversary charge at an inanimate object within Close range they could feasibly smash (a wall, a cart, a market stand, etc.) and destroy it. Any targets in Very Close range of the object must make an Agility Reaction Roll (16) or take 2d4+3 phy damage from the shrapnel.","“The giant charges, shattering everything in their way.”",,,,,,,,,,,,,,,,,,,,
Giant Eagle,A giant-sized bird of prey with blood-stained talons.,"Hunt Prey, Strike Decisively, Stay Mobile",Skulk,2,14,1,Claws and Beak,Very Close,2d6+3,phy,8,19,4,4,,Flight,Passive,Giant Eagle’s Difficulty is +3 when flying.,“The eagle soars and swoops with incredible agility.”,Deadly Dive,Action,"Mark Stress to attack a target within Far range. On a success, the target takes 2d10+10 damage and is knocked over, making them Vulnerable until they next act.","“The eagle narrows itself into a feathered javelin, tearing through the sky before opening up and raking you with their claws.”",Take Off,Action (2),"Make an attack against a target within Very Close range. On a success, the target takes 2d4+3 phy damage and must make an Agility Reaction Roll or become Restrained within the eagle’s massive talons. If they are Restrained, the Eagle immediately lifts into the air to Very Far range above the battlefield while holding them. A Restrained target may make a Strength roll to escape.",,Deadly Drop,Action,"If the Eagle is holding a Restrained target and flying, they can drop them. This means the target is no longer Restrained, but they are falling. If their fall is not prevented by some means on the next action the PCs take, the target will suffer 2d20 phy damage.",,,,,,,,,,,,,
Giant Recruit,A giant fighter wearing borrowed armor.,"Overwhelm, Batter, Terrify, Make a Living",Minion,2,13,1,Warhammer,Very Close,6,phy,,,1,2,,Minion (7),Action (2),"Choose a target and activate all Giant Recruits within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 6 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,,,,,
Gorgon,"A snake-headed scaled humanoid with a glowing bow, enraged that their piece has been disturbed.","Corner, Hit-and-Run, Seek Vengeance, Petrify",Solo,2,15,4,Sunsear Shortbow,Far,3d8+2,mag,13,25,8,3,Stealth +3,Relentless (2),Passive,This adversary may activate twice in a GM move.,“They move with incredible speed.”,Sunsear Arrows,Passive,Targets damaged by Sunsear Shortbow give off bright light within a Close distance until the end of the scene and cannot become Hidden without a magical effect. All attack rolls against a target glowing this way are made with advantage.,,Crown of Serpents,Attack,"Make an attack roll against a target in melee range using this adversary’s protective snakes. On a success, mark stress to deal 2d10+4 phy damage to the target, who must also mark a Stress.",,Petrifying Gaze,Reaction,"Spend a Fear when the Gorgon takes damage from an attack within Close range to force the attacker to make a Reaction roll with Instinct (15). On a failure, they begin to turn to stone, marking 1 hit point of direct damage and starting a petrification Countdown (4). This countdown ticks down every time the Gorgon is attacked. When triggered, the target must make a death move. If the Gorgon is killed, all Petrification countdowns end.",,,,,,,,,,,,,
Juvenile Flickerfly,A horse-sized insect with iridescent scales and crystalline wings moving faster than the eye can see.,"Collect Shiny Things, Hunt, Swoop",Solo,2,14,3,Wing Slash,Very Close,2d10+4,phy,13,26,7,5,,Relentless (3),Passive,Flickerfly may activate three times in one GM move (still costs 3 action tokens).,"“The Flickerfly is everywhere at once, moving with uncanny speed.”",Peerless Accuracy,Passive,"Before an attack the Juvenile Flickerfly makes, roll 1d6. On a 4+, the target's Evasion score is halved (rounded up).",“The Flickerfly moves so fast that you’re on the back foot as you try to evade.”,Mind Dance,Action,"Spend a Fear to create a magically dazzling display that grapples the minds of its targets. All creatures within Close range must make an Instinct Reaction Roll. On a failure, the target adds a token to the action tracker and the Flickerfly learns a fear the target has.","“Their shimmering wings catch the light and flash, enrapturing you and surfacing deep-seeded fears.”",Hallucinatory Breath,Reaction,"Countdown (Loop 1d6) Activate the first time the Flickerfly takes damage. When triggered, the Flickerfly breathes hallucinatory gas on all targets in front of them up to Far range. Targets must make an Instinct Reaction Roll or be tormented by fearful hallucinations. Targets whose fears are known to the Flickerfly have disadvantage on this roll. On a failure, the target marks a Stress and loses a Hope.",“The gas seeps in and your vision fills with terrifying visions that shake your confidence.”,,,,,,,,,,,,
Katari Burglar,A cunning thief with acrobatic skill and a flair for the dramatic.,"Hide, Profit, Pilfer, Evade",Skulk,2,14,3,Longbow,Far,2d4+3,phy,8,17,4,5,Acrobatics +3,Quick Hands,Action (2),"Make a claw attack against a target in Melee range. On a success, deal 1d8+2 phy damage and this adversary steals one item or consumable from the target’s inventory.","“The Katari swipes at you with their claws, and when their paw comes away, they’ve stolen something from your pouch. They flash you a satisfied smile.”",Escape Plan,Action,Mark a Stress to reveal a snare trap set by the Katari Burglar. All targets within Very Close range of the trap must make an Agility Reaction Roll (13) or be pulled off their feet and suspended upside down. They are Vulnerable and Restrained until they get free with a Finesse or Strength Roll (13).,“A snare snaps closed on you and flips you upside down. The Katari gives you a mocking wave as they make their escape.”,,,,,,,,,,,,,,,,,,,,
Knight of the Realm,A well-built soldier with heavy armor and a powerful bearing.,"Seek Glory, Show Dominance, Run Down",Leader,2,15,4,Longsword,Melee,2d10+4,phy,13,26,6,4,"Tactics +2, High Society +2, Ancient Knowledge +3",Chevalier,Passive,"Knight of the Realm has +2 difficulty when mounted. If they suffer Severe damage, they’re knocked from their mount and lose this benefit until they spend an action to re-mount.",“They’re a skilled rider and know how to use the mount’s speed and strength.”,Heavily Armored,Passive,"When the Knight of the Realm marks physical damage, reduce it by 3.",“Their heavy armor diminishes the strength of your blows.”,Cavalry Charge,Action,"If mounted, move up to a close distance and make an attack against a target within very close distance. On a success, deal 2d8+12 phy damage and the target marks Stress.","“They bear down on you, lance seeking your heart as the steed thunders forward.”",For the Realm!,Action (2),Mark a Stress to activate 1d4+1 allies. Any attacks they make in these activations deal half damage.,"“Their voice rings loud and clear, and their soldiers follow with vigor.”",,,,,,,,,,,,
Master Assassin,A seasoned killer with a threatening voice and a deadly blade.,"Ambush, Command, Dispatch, Profit",Leader,2,15,5,Serrated Dagger,Close,2d10+10,phy,12,25,7,5,"Intrusion +3, Command +3",Won’t See It Coming,Passive,Armor is half as effective against attacks made while Master Assassin is Hidden.,"“Attacking from stealth, their attack finds the gaps in your armor.”",Strike as One,Action,Mark a Stress to activate a number of Assassins equal to the Master Assassin’s unmarked Stress.,"“Their leader whistles, and a group of assassins act as one with practiced grace.”",The Subtle Blade,Reaction,"When Master Assassin successfully makes a Serrated Dagger attack against a character that is Vulnerable, spend a Fear to deal 3 Hit Points instead of rolling.","“Their eyes go black as the attack comes in, and the blade appears in your side, stabbing deep and ignoring your armor.”",,,,,,,,,,,,,,,,
Merchant Baron,An accomplished merchant with a large operation under their command.,"Abuse Power, Gather Resources, Mobilize Minions",Social,2,13,-2,Rapier,Melee,2d8+12,phy,9,19,5,3,"Trade +4, Nobility +2",Everyone Has a Price,Action,"If Merchant Baron knows a target’s motive, Spend a Fear to offer a target a dangerous bargain. If used on a PC, they must make a Reaction Roll with Presence (17). If they fail, they can mark 2 Stress or take the deal.",“The baron’s eyes glimmer as they make you an offer you dare not resist.”,Eyes Everywhere,Reaction,"Countdown (Loop 6) Activate when Merchant Baron first becomes relevant to the story. When triggered, spies learn the motive of a target character (NPC or PC).","“The merchant baron has agents throughout the land, scouring for the most valuable commodity: leverage.”",The Best Muscle Money Can Buy,Action,"Once per scene, mark Stress to summon 1d4+1 Tier I guards to enforce the Merchant Baron’s will. They appear at a Far distance.","“The Baron snaps, and a group of rough-looking toughs emerge from the back room.”",,,,,,,,,,,,,,,,
Minotaur,A massive bull-headed Firbolg with a quick temper.,"Gore, Overpower, Pursue, Navigate, Consume",Bruiser,2,16,2,Battleaxe,Very Close,2d10+10,phy,14,27,7,4,Navigation +2,Slow (2),Passive,This adversary costs 2 action tokens to activate.,"“The enemy moves slowly, but with incredible strength.”",Charging Bull,Action,"Spend a Fear to make an attack roll on a group within Very Close range. The Minotaur charges through them, making an attack. Any they succeed against are knocked back to Close range and take 2d10+10 phy damage. If they are knocked into a solid object or another creature, they take an additional 1d8+3 phy (add the damage together).","“The Minotaur lowers their head and charges, knocking you back with incredible force.”",Gore,Action,"Make an attack against a target within Very Close range, moving the Minotaur into melee with them. On a success, deal 2d6+15 phy damage to the target. Armor is only worth half its value against this attack.","“The Minotaur slashes and stabs with their huge horns, punching through your armor.”",,,,,,,,,,,,,,,,
Mortal Hunter,"An undead figure wearing a heavy leather coat, with searching eyes and a casually cruel demeanor.","Devour, Hunt, Track",Leader,2,16,5,Tear At Flesh,Very Close,2d10+11,phy,15,27,6,4,Bloodhound +3,Terrifying,Passive,"Every time this creature makes a successful attack, all PCs within Far range lose one Hope.","“They strike you with silent satisfaction, and their claws rend more than flesh as your confidence sinks.”",Deathlock,Action,Spend a Fear to put a deathlock on a target within Very Close range as the Mortal Hunter binds the target with a necrotic curse. Any attacks made by the Mortal Hunter on a deathlocked target deal direct damage. This creature can only maintain one deathlock at a time.,“They make a pattern with their hands and a sigil burns into you as it feels like something has wrapped cold hands around your heart.”,Inevitable Death,Action,Mark Stress to activate 1d4 adversaries under the Mortal Hunter’s control. They deal half damage with any attacks made in these activations.,"“The Hunter snaps, and the dead around you leap into action.”",Rampage,Reaction,"Countdown (Loop 1d6) Activate when a hostile target is spotted. When triggered, move in a straight line to somewhere in Far range, and make an attack with a +3 modifier against all enemies in the path. Deal 2d8+12 physical damage to any you succeed against.","“Hatred burns in their eyes, and they shoot forward with a blur, tearing through everything in their path.”",,,,,,,,,,,,
